,stco,year,avg_temp
154,5145,1981.0,23.77045589331419
155,5147,1981.0,23.814165264953775
156,5149,1981.0,23.20956999842149
157,6001,1981.0,21.348672160443268
158,6003,1981.0,16.609660350653396
159,6005,1981.0,22.809740593303037
160,6007,1981.0,23.76551721232835
161,6009,1981.0,23.191167040265476
162,6011,1981.0,23.95696718053569
163,6013,1981.0,22.89019385501474
164,6015,1981.0,14.144288850296995
165,6017,1981.0,21.63421543107803
166,6019,1981.0,25.086440143838246
167,6021,1981.0,23.912949567764116
168,6023,1981.0,14.568755763929717
169,6025,1981.0,30.941549805962318
170,6027,1981.0,22.557420240782065
171,6029,1981.0,25.829161634042173
172,6031,1981.0,25.373664788356823
173,6033,1981.0,21.79231348660138
174,6035,1981.0,16.607960640909383
175,6037,1981.0,24.06340684578907
176,6039,1981.0,24.403925430887167
